2.20233, 48.92186, "Esso Nanterre"
1.99318, 48.92493, "Elf Orgeval"
2.30555, 48.93201, "Leclerc Gennevilliers"
2.25276, 48.94268, "Esso Argenteuil"
1.81256, 48.96186, "Elf Epône"
1.86608, 48.96650, "Carrefour Flins sur Seine"
1.68925, 48.98157, "Auchan Mantes Buchelay"
2.52498, 49.85684, "Simply-market Villers-Bretonneux"
2.27766, 49.86218, "Auchan Dury"
2.37682, 49.86450, "Géant Amiens-Glisy"
1.85656, 50.09973, "Géant Abbeville"
1.83114, 50.12666, "Intermarché Abbeville"
2.69574, 50.44194, "Carrefour-market Aix  Noulette"
2.62904, 50.52233, "Auchan Béthune"
2.46422, 50.56888, "Elf Lillers"
2.58317, 50.80532, "Carrefour-market Steenvoorde"
1.87892, 50.93941, "Carrefour-market Calais"
2.38222, 51.01564, "Cora Coudekerque-Branche"
2.84532, 42.66293, "Intermarché Canohès"
2.96526, 43.03048, "Intermarché Sigean"
3.02921, 43.17975, "Carrefour Narbonne"
5.48028, 43.29494, "Géant Marseille"
3.26357, 43.34027, "Géant Béziers"
3.42238, 43.37166, "Intermarché Bessan"
5.47257, 43.58230, "Intermarché Venelles"
3.88954, 43.58827, "Géant Montpellier"
3.97784, 43.64977, "Leclerc Saint-Aunès"
4.00004, 43.65534, "Intermarché Baillargues"
4.34171, 43.81637, "Carrefour Nimes"
4.34171, 43.81640, "Carrefour Nimes"
4.80059, 44.13642, "Intermarché Orange"
4.75067, 44.28699, "Intermarché Bollene"
4.87797, 44.90627, "Intermarché Valence"
5.05743, 45.03477, "Géant Bourg-de-Péage"
4.86508, 45.06896, "Intermarché Tain-l Hermitage"
5.41187, 45.20782, "Super-U Vinay"
4.80877, 45.32480, "Intermarché Chanas"
5.46765, 45.39941, "Casino Apprieu"
4.35691, 45.47945, "Casino Saint-Priest-en-Jarez"
4.28630, 45.53635, "Leclerc  Andrézieux-Bouthéon"
4.28664, 45.53658, "Leclerc  Andrézieux-Bouthéon"
3.26703, 45.55189, "Carrefour Issoire"
5.29963, 45.58424, "Netto Bourgoin-Jallieu"
4.75514, 45.58585, "Carrefour Givors"
4.77065, 45.59451, "Intermarché Givors"
4.84853, 45.67501, "Elf Feyzin"
