1400005,4611765,496036,01400,avenue jean jaurès,chatillon sur chalaronne
1430001,4612370,549956,01430,autoroute a 40 - sens paris prov,ceignes
1430003,4612030.08415,549462.912843,01430,aire de ceignes haut bugey,ceignes
1430004,4612757,553836,01430,chemin de l'égalité,maillat
1430005,4612370,549956,01430,autoroute a40 - aire de ceignes cerdon,ceignes
1440001,4623898.57474,522856.45722,01440,1029 route de marboz-louhans,viriat
1440002,4623586,526288,01440, route de strasbourg,viriat
1440003,4621667,521340,01440,261 route de paris,viriat
1460001,4617225,557729,01460,68 rue du juras,montreal-la-cluse
1460002,4618665,552607,01460,route de berthiand,nurieux-volognat
1460003,4616586,557129,01460,rue de l'industrie ,port
1470001,4579510,546083,01470,les granges de montagnieu,montagnieu
1470002,4578776,545414,01470, rue des verchères,briord
1480001,4598403,475694,01480, rue édouard herriot,jassans-riottier
1500001,4597210.0055105,537295.50239562,01500,rue alexandre bérard,ambérieu-en-bugey
1500003,4597592,530925,01500,550 avenue jean mermoz,château-gaillard
1500004,4595700,533285,01500,15 avenue de la libération,ambérieu-en-bugey
1500006,4597592,530925,01500,550 rue jean mermoz,château-gaillard
1500007,4597268,533747,01500,centre commercial de l'aviationrais,ambérieu-en-bugey
1510001,4587246.15873,569677.435972,01510,1 rue des champs,artemare
1510002,4584755,565428,01510,chef lieu,virieu-le-grand
1540001,4619773,499363,01540,route de neuville,vonnas
1540002,4621979,498991,01540,za les grands varays route de neuville,vonnas
1560000,4645883,507477,01560,route de pont-de-vaux,saint-trivier-de-courtes
1570001,4632904,488493,01570, grande rue,feillens
1590001,4632155.3615503,565623.25396729,01590,rue du 21 juillet 1944,dortan
1590002,4632488.24117,567177.372838,01590,zac sous la combe,lavancia-epercy
1600001,4582834,497183,01700, rue du figuier,miribel
1600002,4593472.4745,479062.770497,01600,324 route de lyon,trevoux
1600003,4590391.02931,481872.214413,01600,avenue lavoisier,massieux
1630001,4624211,602491,01630,rue de geneve -,saint-genis-pouilly
1630003,4626326,602950,01630,148 rue des chalets,saint-genis-pouilly
1630004,4618322.46433,592891.802463,01630,za du pre munny,péron
1640001,4603497,538957,01640,573 route de genève,saint-jean-le-vieux
1700003,4587147,491241,01700,route nationale 83,miribel
1700004,4582650,499895,01700,zac des beterses,beynost
1710001,4622732.39381,599277.59778,01710,route de bellegarde,thoiry
1750001,4629932,488054,01750,223 route de bourg-en-bresse,replonges
1800001,4590118.51,519052.190391,01800,47 route de lyon,meximieux
1800002,4582087,519980,01800,11 route de port-galland,saint-maurice-de-gourdans
1800003,4591162.3208373,518971.44887676,01800,route de chalamont,meximieux
1960001,4618159,521379,01960,chemin de bellevue,peronnas
1960003,4619090,521152,01960,148 avenue de lyon,péronnas
1960004,4619089,521157,01960,148 avenue de lyon,péronnas
1980001,4577902.14888,521298.238436,01360,63 rue du bugey,loyettes
2000002,4954828.97231,361624.221559,02000,zac ile de france,laon
2000003,4957005.31713,360820.562241,02000,16 rue fernand christ,laon
2000004,4956949,364013,02000,44 avenue charles de gaulle,laon
2000005,4956889,364553,02000,97 avenue charles de gaulle,laon
2000007,4956959,362148,02000,16 boulevard pierre brossolette,laon
