Errors,ID,Latitude,Longitude,Adresse,CP,Ville
Inversion Lat Long,42100001,440992,4544232,100 rue de la montat,42100,saint-étienne
Lat Long Vides,42240002,,,35 rue holtzer,42240,unieux
Marker Hors Zone,42240002,0,0,35 rue holtzer,42240,unieux
Marker Hors Zone,42500009,0,0,route nationale 88 - lieu dit le real,42500,le chambon feugerolles
Inversion Lat Long,43230001,354313,4514351,la buge,43230,saint-georges-d'aurac
Lat Long Vides,44117002,,,6 rue de l'océan,44117,saint-andré-des-eaux
Marker Hors Zone,44117002,0,0,6 rue de l'océan,44117,saint-andré-des-eaux
Marker Hors Zone,44240007,5977395.49465,-171596.010798, boulevard alexanderue fleming,44240,la chapelle-sur-erdre
Inversion Lat Long,44240008,-154763.114752,4725768.44672,boulevard alexanderue fleming,44240,la chapelle sur erdre
Lat Long Vides,44240009,,,boulevard alexanderue fleming,44240,la chapelle sur erdre
Marker Hors Zone,44240009,0,0,boulevard alexanderue fleming,44240,la chapelle sur erdre
Lat Long Vides,44300014,,,272 route de sainte luce,44300,nantes
Marker Hors Zone,44300014,0,0,272 route de sainte luce,44300,nantes
Inversion Lat Long,44380002,-234017.17212734,4725967.5786554,1 boulevard de la république,44380,pornichet
Lat Long Vides,45500004,,,91 route d'orléans,45500,gien
Marker Hors Zone,45500004,0,0,91 route d'orléans,45500,gien
Inversion Lat Long,46090003,148926.21,4446752.87,318 route de cahors,46090,lamagdelaine
Lat Long Vides,47000008,,,131 avenue jean jaurés,47000,agen
Marker Hors Zone,47000008,0,0,131 avenue jean jaurés,47000,agen
Lat Long Vides,49070007,,,rd 323,49070,beaucouze
Marker Hors Zone,49070007,0,0,rd 323,49070,beaucouze
Lat Long Vides,49480004,,,a 11 les portes d'angers sud,49480,saint-sylvain-d'anjou
Marker Hors Zone,49480004,0,0,a 11 les portes d'angers sud,49480,saint-sylvain-d'anjou
Inversion Lat Long,51700008,234705.99,4885885.89,rn3 les quartiers,51700,dormans
Lat Long Vides,52160006,,,autoroute a31,52160,perrogney-les-fontaines
Marker Hors Zone,52160006,0,0,autoroute a31,52160,perrogney-les-fontaines
Marker Hors Zone,54200009,0,0,autoroute a31aire de toul chaudeney,54200,chaudeney
Marker Hors Zone,54200011,0,0,autoroute a31aire de toul chaudeney,54200,chaudeney
Lat Long Vides,54260002,,,3 rue irénée leroy,54260,saint-jean-lès-longuyon
Marker Hors Zone,54260002,0,0,3 rue irénée leroy,54260,saint-jean-lès-longuyon
Inversion Lat Long,56130001,-231002,4752628,le pont,56130,marzan
Lat Long Vides,56190009,,,route nationale 165/sens vannes-nantes,56190,muzillac
Marker Hors Zone,56190009,0,0,route nationale 165/sens vannes-nantes,56190,muzillac
